Official (scientific) name,Common name
Aedes albopictus densovirus (isolate Boublik/1994),AalDNV
Adeno-associated virus 2,AAV-2
Adeno-associated virus 2 (isolate Srivastava/1982),AAV-2
Abacion magnum,Millipede
Abalone herpesvirus (isolate Abalone/Australia/Victoria/2009),AbHV
Abies alba,Edeltanne
Australian bat lyssavirus (isolate Bat/AUS/1996),ABLV
Australian bat lyssavirus (isolate Human/AUS/1998),ABLV
Abutilon mosaic virus (isolate West India),AbMV
Acute bee paralysis virus (strain Rothamsted),ABPV
Abutilon theophrasti,Velvet-leaf
Acidianus bottle-shaped virus,ABV
Acidianus bottle-shaped virus (isolate Italy/Pozzuoli),ABV
Acanthamoeba castellanii,Amoeba
Acanthurus chirurgus,Doctorfish
Acanthochitona crinita,Chiton
Acartia clausii,Copepod
Acanthophlebia cruentata,Mayfly
Acantholipes circumdata,Moth
Acanthophippium mantinianum,Orchid
Acartia pacifica,Copepod
Acanthodiaptomus pacificus,Copepod
Acanthamoeba polyphaga,Amoeba
Acanthoscurria rondoniae,Spider
Acanthocybium solandri,Wahoo
Acartia tonsa,Copepod
Acanthopteroctetes unifascia,Moth
Achondrostoma oligolepis,Ruivaco
Acineta chrysantha,Orchid
Acinonyx jubatus,Cheetah
Acipenser stellatus,Sevruga
Aclytia heber,Moth
Apple chlorotic leaf spot virus (isolate apple),ACLSV
Apple chlorotic leaf spot virus (isolate plum P863),ACLSV
Acorus americanus,Sweetflag
Aconitum napellus,Monkshood
Acropoma japonicum,Glowbelly
Acroclita subsequana,Moth
Actinidia chinensis,Kiwi
Actinidia deliciosa,Kiwi
Acyrthosiphon magnoliae,Aphid
Human adenovirus C serotype 1 (strain Adenoid 71),HAdV-1
Addax nasomaculatus,Addax
Human adenovirus C serotype 1,HAdV-1
Human adenovirus C serotype 2,HAdV-2
Human adenovirus B serotype 3,HAdV-3
Human adenovirus E serotype 4,HAdV-4
Human adenovirus C serotype 5,HAdV-5
Human adenovirus C serotype 6,HAdV-6
Human adenovirus B serotype 7,HAdV-7
Human adenovirus D serotype 8,HAdV-8
Human adenovirus D serotype 9,HAdV-9
Human adenovirus A serotype 12,HAdV-12
Human adenovirus D serotype 15,HAdV-15
Human adenovirus B serotype 16,HAdV-16
Human adenovirus D serotype 17,HAdV-17
Human adenovirus A serotype 18,HAdV-18
Human adenovirus B serotype 11 (strain BC34),HAdV-11
Human adenovirus D serotype 15/H9,HAdV-15/H9
Human adenovirus B serotype 11 (strain Slobiski),HAdV-11
Human adenovirus A serotype 31,HAdV-31
Human adenovirus B serotype 35,HAdV-35
Human adenovirus F serotype 40,HAdV-40
Human adenovirus F serotype 41,HAdV-41
Bovine adenovirus 2,BAdV-2
Bovine adenovirus B serotype 3,BAdV-3
Bovine adenovirus 4,BAdV-4
Bovine adenovirus 7,BAdV-7
Bovine adenovirus C serotype 10,BAdV-10
Canine adenovirus serotype 2,CAdV-2
Canine adenovirus serotype 1 (strain CLL),CAdV-1
Canine adenovirus serotype 1 (strain Glaxo),CAdV-1
Canine adenovirus serotype 1 (strain RI261),CAdV-1
Canine adenovirus serotype 2 (strain Toronto A 26-61),CAdV-2
Canine adenovirus serotype 1 (strain Utrecht),CAdV-1
Equine adenovirus A serotype 1,EAdV-1
Equine adenovirus B serotype 2,EAdV-2
Frog adenovirus 1 (strain ATCC VR-896),FrAdV-1
Adenostoma fasciculatum,Chamise
Frog adenovirus,FrAdV
Fowl adenovirus A serotype 1 (strain CELO / Phelps),FAdV-1
Avian adenovirus 8 (strain ATCC A-2A),FAdV-8
Adenia gummifera,Oloru
Fowl adenovirus C serotype 10 (strain SA2),FAdV-10
Adenocaulon himalaicum,Trailplant
Murine adenovirus A serotype 1,MAdV-1
Ovine adenovirus D serotype 7 (isolate OAV287),OAdV-7
Ovine adenovirus D,OAdV-D
Porcine adenovirus A serotype 3,PAdV-3
Porcine adenovirus B serotype 4,PAdV-4
Snake adenovirus serotype 1,SnAdV-1
Simian adenovirus serotype 7,SAdV-7
Tree shrew adenovirus serotype 1,TSAdV-1
Adineta gracilis,Rotifer
Adineta ricciae,Rotifer
Adineta vaga,Rotifer
Adoxa moschatellina,Moschatel
Aleutian mink disease parvovirus (strain G),ADV
Aedes albopictus densovirus,AaPV
Aedes fluviatilis,Mosquito
Aedes furcifer,Mosquito
